x,y,z,total_cost_mean,total_cost_se,deviation_mean,deviation_se,total_cost_n
0.0,0.0,0.0,5429.4478185431035,6.453316646558211,1418.9555555555555,7.032386622640563,900
0.0,0.0,0.25,5913.641591018241,7.924198222256202,910.9777777777778,8.161988055108106,600
0.0,0.0,0.5,6328.97301621698,7.936002402788344,614.1266666666667,4.680350441710407,600
0.0,0.0,0.75,6678.182095876482,7.9396881696056,758.1644444444445,8.6563135722585,600
0.0,0.0,1.0,6977.142429932846,7.9047013168062055,1119.668888888889,9.348826078979622,600
0.0,0.0,1.25,7226.599499866522,7.92359685060477,1457.9755555555557,9.323003876318511,600
0.0,0.0,1.5,7438.933704086033,7.955815883202773,1730.848888888889,9.835302813961638,600
0.0,0.0,1.75,7616.543594749253,7.99282855528637,1992.322222222222,10.611580877274434,600
0.0,0.0,2.0,7755.113213004718,8.108186622467674,2325.188888888889,11.365197811963318,600
0.0,0.25,0.0,5691.048746074948,7.861329209408277,1421.4555555555555,8.700698122471575,600
0.0,0.25,0.25,6175.482529280353,11.164891754639052,922.9844444444444,11.089646938773125,300
0.0,0.25,0.5,6590.972983691915,11.185676307515953,674.0844444444444,7.5947575869961454,300
0.0,0.25,0.75,6940.453135836239,11.19363139559621,822.8955555555556,12.667820878130717,300
0.0,0.25,1.0,7239.782041879878,11.144168909743591,1184.8422222222223,13.470750104187294,300
0.0,0.25,1.25,7489.860024540198,11.168998121514687,1524.5022222222224,13.520182370622905,300
0.0,0.25,1.5,7703.113396008286,11.229338366885662,1799.9288888888887,14.55824602660197,300
0.0,0.25,1.75,7882.478124878408,11.311555128096995,2065.862222222222,15.758125505383326,300
0.0,0.25,2.0,8023.854369686091,11.501512689526912,2405.9888888888886,16.49320553727108,300
0.0,0.5,0.0,5943.177034108532,7.805213378990319,1423.9488888888889,8.680449243229528,600
0.0,0.5,0.25,6427.915464609522,11.100991524659598,951.3622222222223,10.483939440134163,300
0.0,0.5,0.5,6843.5944089528375,11.133127573535058,764.9666666666667,9.001825172431996,300
0.0,0.5,0.75,7193.188267753635,11.13903373588918,916.8666666666667,13.610658635423503,300
0.0,0.5,1.0,7492.684894298206,11.082507149269807,1279.5555555555557,14.3068782964075,300
0.0,0.5,1.25,7742.995541281348,11.097720740889395,1620.0022222222224,14.095331667369987,300
0.0,0.5,1.5,7956.732884504452,11.15824643105884,1896.582222222222,15.051672374087357,300
0.0,0.5,1.75,8136.782612136952,11.248487992680419,2164.0822222222223,15.937156473338508,300
0.0,0.5,2.0,8279.415792558722,11.459893741463427,2507.6555555555556,17.29926459460822,300
0.0,0.75,0.0,6180.575789217597,7.7394932651974955,1429.7622222222224,8.459641525928411,600
0.0,0.75,0.25,6665.512901160052,11.011206466288694,1015.5577777777777,10.159344122150737,300
0.0,0.75,0.5,7081.424989728589,11.051854059956948,910.2,11.110562676914542,300
0.0,0.75,0.75,7431.0932670738985,11.055871721994249,1064.7533333333333,14.614518611385622,300
0.0,0.75,1.0,7730.6637439561855,10.996698292125693,1427.4333333333334,15.84066680684309,300
0.0,0.75,1.25,7981.081562399041,11.002506100726752,1768.1288888888887,15.414569801122608,300
0.0,0.75,1.5,8194.992780817069,11.064525978710185,2045.1288888888887,16.612680425839986,300
0.0,0.75,1.75,8375.40021695759,11.154418760646033,2313.3888888888887,17.460237627648596,300
0.0,0.75,2.0,8518.57733641379,11.38256195377962,2657.9488888888886,18.70192206557109,300
0.0,1.0,0.0,6394.03232758368,7.674131509553448,1460.6133333333332,8.04266125879133,600
0.0,1.0,0.25,6879.306328357375,10.914132972848915,1172.68,12.29427520935352,300
0.0,1.0,0.5,7295.361884428165,10.940192764266202,1148.7666666666667,13.043001467399401,300
0.0,1.0,0.75,7645.175652812448,10.938346498097287,1303.5466666666666,16.185303042711844,300
0.0,1.0,1.0,7944.804219347201,10.87102811836419,1666.0733333333333,17.36731531137547,300
0.0,1.0,1.25,8195.276573912231,10.862878240111694,2006.9555555555555,16.882469638088185,300
0.0,1.0,1.5,8409.26855610547,10.91801515588119,2284.1222222222223,17.535817698339446,300
0.0,1.0,1.75,8589.793770482625,11.000825505335174,2552.8088888888888,18.673717990085084,300
0.0,1.0,2.0,8733.23190290459,11.234182960135092,2898.168888888889,20.247596440897087,300
0.0,1.25,0.0,6569.071032071846,7.677786739422315,1590.3222222222223,8.4168746534545,600
0.0,1.25,0.25,7054.84887469159,10.909462683683623,1493.0955555555556,14.286910700008399,300
0.0,1.25,0.5,7471.073689503285,10.910830801633526,1499.7066666666667,14.35971661509893,300
0.0,1.25,0.75,7820.989642710596,10.890007283059909,1654.26,17.26476638719906,300
0.0,1.25,1.0,8120.731634824886,10.819929871490718,2016.48,18.8350672840239,300
0.0,1.25,1.25,8371.238627721117,10.8049780012434,2357.4288888888887,18.416275046967492,300
0.0,1.25,1.5,8585.272090706321,10.850715977083711,2634.682222222222,18.780837718575118,300
0.0,1.25,1.75,8765.855476426985,10.916183729244905,2903.6422222222222,19.609556693628555,300
0.0,1.25,2.0,8909.350123073164,11.154278214490745,3249.288888888889,21.283325895815654,300
0.0,1.5,0.0,6701.735616880196,7.803539405639663,1869.8044444444445,9.895449025910374,600
0.0,1.5,0.25,7187.915327300423,11.065963320382753,1850.3911111111113,14.871971522249034,300
0.0,1.5,0.5,7604.391388812785,11.04860688657725,1856.94,14.793037650806848,300
0.0,1.5,0.75,7954.415482062062,11.022517121708507,2010.92,18.148247943160143,300
0.0,1.5,1.0,8254.23325092365,10.953218399304603,2373.0133333333333,19.264312126042352,300
0.0,1.5,1.25,8504.814608139939,10.935364746481556,2714.555555555555,18.428743815597343,300
0.0,1.5,1.5,8718.873760828707,10.965961846907248,2991.9355555555553,18.67479387187846,300
0.0,1.5,1.75,8899.487870811621,11.01135514105883,3260.9755555555553,20.027595800970072,300
0.0,1.5,2.0,9043.024289587242,11.254874381728367,3606.695555555556,21.169420747002395,300
0.0,1.75,0.0,6788.104127286023,8.098906647978618,2174.5466666666666,9.045624140695095,600
0.0,1.75,0.25,7275.114062406777,11.477811272657686,2160.8977777777777,13.128101270414785,300
0.0,1.75,0.5,7691.853089302394,11.460620766659346,2167.1555555555556,13.36284928251419,300
0.0,1.75,0.75,8042.085947981564,11.44085349087418,2319.9266666666667,17.247169622940373,300
0.0,1.75,1.0,8341.984808370611,11.381046628967553,2682.0533333333333,18.652818571969377,300
0.0,1.75,1.25,8592.612040770295,11.363874135565979,3023.742222222222,17.414779798067208,300
0.0,1.75,1.5,8806.690325480997,11.382213479215382,3301.182222222222,18.153344176818074,300
0.0,1.75,1.75,8987.321005635515,11.417810050619469,3570.275555555556,19.140116100192095,300
0.0,1.75,2.0,9130.87790628235,11.663748393843276,3916.068888888889,19.486260430875824,300
0.0,2.0,0.0,6843.359448518178,8.299439511407614,2360.9488888888886,7.782177927509109,600
0.0,2.0,0.25,7332.394559104024,11.799155834510378,2343.6911111111112,11.167427684272095,300
0.0,2.0,0.5,7749.684986592075,11.782101620040585,2343.1355555555556,11.53728709092352,300
0.0,2.0,0.75,8100.09173269069,11.775442314614422,2495.351111111111,15.409277263166931,300
0.0,2.0,1.0,8400.144607124816,11.734812366612193,2857.32,17.552087848344325,300
0.0,2.0,1.25,8650.817949600501,11.727563723390857,3199.055555555555,16.517896996215587,300
0.0,2.0,1.5,8864.930859798938,11.74783543933845,3476.5622222222223,17.40166641411652,300
0.0,2.0,1.75,9045.576907455374,11.78480148611205,3745.6822222222227,18.495219563971588,300
0.0,2.0,2.0,9189.14531538726,12.034576682679878,4091.5022222222224,18.640213345268457,300
0.25,0.0,0.0,5627.630370726334,8.226121590384084,2000.3688888888887,8.215996200927282,600
0.25,0.0,0.25,6181.250434993404,11.55583060536811,1416.9022222222222,12.217761264211273,300
0.25,0.0,0.5,6665.211715228147,11.630598657620366,902.711111111111,12.006418999702452,300
0.25,0.0,0.75,7080.120423279118,11.677673761316575,571.8666666666667,6.182309746090527,300
0.25,0.0,1.0,7428.770290567909,11.702371705535093,712.5422222222222,11.629154226665909,300
0.25,0.0,1.25,7726.848122465205,11.676389027315293,1072.4422222222222,12.731099201972219,300
